date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:41	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202017%2019:49:36%20GMT	http://coffee.bitnet.si/robots.txt		(from )
21:49:41	37751/37751	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Apr%202017%2019:49:36%20GMT	http://coffee.bitnet.si/Web/	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/index.html	(from )
21:49:42	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://coffee.bitnet.si/Web/)
21:49:42	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://coffee.bitnet.si/Web/)
21:49:43	86351/86351	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.1.0/jquery.min.js	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/ajax.googleapis.com/ajax/libs/jquery/3.1.0/jquery.min.js	(from http://coffee.bitnet.si/Web/)
21:49:43	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225869c96cc8f19086aee625d670d741f9%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from http://coffee.bitnet.si/Web/)
21:49:43	15163/15163	---MCZ	200	added ('OK')	text/css	date:Sat,%2015%20Apr%202017%2008:56:55%20GMT	http://coffee.bitnet.si/Web/Resources/landing_styles.css?121	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/landing_styles4c56.css	(from http://coffee.bitnet.si/Web/)
21:49:43	20640/20640	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20Apr%202017%2023:07:16%20GMT	http://coffee.bitnet.si/Web/Resources/game_styles.css?421	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/game_stylese0c6.css	(from http://coffee.bitnet.si/Web/)
21:49:44	1729/1729	---M-Z	200	added ('OK')	text/css	etag:%22572c9668-6c1%22	http://cdn.jsdelivr.net/jquery.slick/1.6.0/slick.css	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/cdn.jsdelivr.net/jquery.slick/1.6.0/slick.css	(from http://coffee.bitnet.si/Web/)
21:49:44	3145/3145	---M-Z	200	added ('OK')	text/css	etag:%22572c9668-c49%22	http://cdn.jsdelivr.net/jquery.slick/1.6.0/slick-theme.css	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/cdn.jsdelivr.net/jquery.slick/1.6.0/slick-theme.css	(from http://coffee.bitnet.si/Web/)
